Median House Prices 3rd Quarter 2020,,,,,,,,Change %,Change %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales ,No of Sales ,Jul - Sep 19,Apr - Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jul - Sep 20,YTD,Jul - Sep 20,Jul - Sep 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTSFORD,1160000,1027500,1230000,1080000,1260000,8,33,8.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERFELDIE,1352500,1650000,1732500,1375000,1600000,6,25,18.3,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINTREE,575000,620400,675000,685000,740000,8,52,28.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIREYS INLET,700000,1400000,1050000,1010000,1300000,7,19,85.7,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPORT WEST,810500,851000,832500,798500,775000,15,69,-4.4,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANVALE,500000,517000,551500,505000,505000,11,34,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERT PARK,2465000,2220000,2040000,1777500,1738800,8,57,-29.5,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBION,600000,737500,765000,571000,755000,3,12,25.8,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDRA,285000,325000,388500,395000,340000,13,42,19.3,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFREDTON,498000,485100,500000,500000,510000,67,162,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPHINGTON,1700000,1717500,1435500,1930000,1865000,5,19,9.7,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA,887500,941000,1010000,925000,820000,24,77,-7.6,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA EAST,900000,855000,802500,892000,805000,4,19,-10.6,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA MEADOWS,625000,612500,650000,600000,625000,13,51,0.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA NORTH,742500,801000,835000,812500,910000,17,79,22.6,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGLESEA,1000000,1115000,965000,863000,1035000,26,66,3.5,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLO BAY,600000,545000,730000,590000,640000,7,23,6.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARAT,219000,227500,234000,240000,280300,44,127,28.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEER,575000,572000,600000,575000,630000,3,14,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMADALE,2610000,2825000,2320000,2500000,2054000,11,45,-21.3,-17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG CREEK,540000,527500,531000,550000,572500,65,156,6.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCOT (GREATER BENDIGO),425400,415000,453800,442500,480000,3,27,12.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCOT VALE,978800,1030000,1205000,1280000,1328800,18,94,35.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHBURTON,1760000,1722500,1530000,1528000,1666800,11,48,-5.3,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,1210000,1219400,1156500,1235000,1210500,6,28,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPENDALE,1032500,963000,1187500,1031500,1115000,20,56,8.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPENDALE GARDENS,836000,881500,925000,985000,1002500,2,20,19.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTWOOD,716000,632000,680000,813800,714000,2,15,-0.3,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVENEL,351000,370000,445000,535000,550000,3,9,56.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVOCA,160000,230000,265000,225000,235000,2,15,46.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVONDALE HEIGHTS,800000,856000,843800,791000,795000,15,66,-0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACCHUS MARSH,498500,505000,490000,525000,525500,36,98,5.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADGER CREEK,435000,498000,497500,572500,525000,3,10,20.7,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIRNSDALE,274500,286000,293800,277500,284000,65,151,3.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALACLAVA,1502500,1361000,1436000,1390000,1414000,6,22,-5.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALCOMBE,1140000,1103000,1070000,1332500,1170000,22,73,2.6,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLAN,479500,451000,534500,470000,418800,8,32,-12.7,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARAT CENTRAL,505000,522500,590000,550000,530000,31,83,5.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARAT EAST,340000,379000,375500,370000,402500,30,89,18.4,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARAT NORTH,400000,457500,412500,421000,371000,24,53,-7.3,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALNARRING,825000,800000,970000,782500,1015000,3,16,23.0,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALNARRING BEACH,1310500,1275000,1175000,1138500,1350000,1,10,NA,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALWYN,2400000,2408000,2267500,2140000,2115000,16,68,-11.9,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALWYN NORTH,1752000,1917400,2000100,1872500,1800000,36,149,2.7,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIANA,365000,400300,369000,456300,325000,1,8,-11.0,-28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANNOCKBURN,555000,547500,567500,555000,552500,26,68,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANDUDA,409000,407500,449000,398500,409500,4,17,0.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARWON HEADS,913500,1027500,1390000,958500,1052500,22,55,15.2,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAXTER,482500,569000,541500,577500,566000,6,20,17.3,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSWATER,736000,800000,757500,747000,700000,15,62,-4.9,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSWATER NORTH,707900,695600,759500,690000,788000,10,51,11.3,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEACONSFIELD,650000,640000,710000,765000,672500,12,65,3.5,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT,225000,238500,294500,320000,322500,2,17,43.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUMARIS,1680000,1637500,1690000,1800000,1690000,22,78,0.6,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEECHWORTH,520000,499000,480000,439100,525000,17,42,1.0,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELGRAVE,620000,691000,664100,641000,650000,13,37,4.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELGRAVE HEIGHTS,770000,622500,702500,750000,750000,0,11,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL PARK,487500,480000,500800,500000,495000,19,60,1.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL POST HILL,457500,476000,560000,492500,497400,27,60,8.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLFIELD (BANYULE),844500,750000,735000,910000,750000,4,13,-11.2,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT,558800,561000,575500,585000,615000,76,180,10.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENALLA,286500,292000,298000,269500,310000,47,134,8.2,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENDIGO,390000,413000,430000,506000,500000,26,87,28.2,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTLEIGH,1376000,1411000,1510000,1469000,1500000,17,72,9.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTLEIGH EAST,1225000,1250000,1260800,1155000,1160000,45,174,-5.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERWICK,692500,675000,715500,680000,682500,100,360,-1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVERIDGE,620300,550000,600000,555000,532000,13,30,-14.2,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRCHIP,108500,130500,102500,140000,111000,5,15,2.3,-20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRREGURRA,462800,423000,465000,551000,379000,1,12,-18.1,-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITTERN,577500,605000,615000,567500,627500,10,24,8.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK HILL,532500,515000,420000,405000,400000,7,23,-24.9,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK ROCK,1939300,1727500,1920000,2220000,2110000,2,29,8.8,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKBURN,1310000,1380000,1355500,1387500,1387500,22,84,5.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKBURN NORTH,978500,1152000,1090000,1046500,872000,6,46,-10.9,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKBURN SOUTH,1003000,1180000,1170000,1061800,1027500,12,51,2.4,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKWOOD,340000,405000,405000,542500,435000,3,11,27.9,-19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAIRGOWRIE,912500,950000,937500,945000,1045000,26,95,14.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLIND BIGHT,520000,555000,600000,560000,545000,4,15,4.8,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONBEACH,900000,908000,965000,900000,885000,11,44,-1.7,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONSHAW,399000,348500,430000,415000,474000,2,8,18.8,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOLARRA,230000,283500,283500,245000,175000,1,2,-23.9,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORONIA,700000,730000,725000,697500,710000,43,154,1.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTANIC RIDGE,675000,720600,726000,720000,762500,23,81,13.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX HILL,1677000,1552500,1613000,1383000,1429000,5,28,-14.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX HILL NORTH,1222500,1265000,1200000,1210000,1180000,19,54,-3.5,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX HILL SOUTH,1296400,1283400,1370000,1179500,1060000,11,42,-18.2,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAYBROOK,649000,669000,705000,671500,642000,25,79,-1.1,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAKWATER,392000,405000,405000,418300,410000,1,5,4.6,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIAGOLONG,279000,300000,300000,262500,310000,3,9,11.1,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIAR HILL,816300,868000,900000,845000,875000,2,9,7.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHT,725000,575000,645000,629900,620000,13,32,-14.5,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON,3005000,2707500,2964400,2825000,3325000,23,120,10.6,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON EAST,1700300,1762500,1797500,1850000,1895000,28,94,11.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADFORD,420000,445000,412500,420000,503800,16,52,19.9,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADMEADOWS,490000,562700,566300,554800,550000,20,48,12.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKFIELD,440000,480000,512000,460000,530000,23,100,20.5,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN,750000,675000,617500,725000,638800,4,11,-14.8,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROWN HILL,435000,467500,486000,465000,465500,16,36,7.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNSWICK,1037500,1155000,1208000,1095000,963000,25,95,-7.2,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNSWICK EAST,1192000,992800,1168500,1286500,1120000,7,40,-6.0,-12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNSWICK WEST,1074500,1140000,1120000,1180000,1135000,16,55,5.6,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUTHEN,275000,276500,215000,215000,348000,2,4,26.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLEEN,1200000,1210000,1250000,1205000,1100000,12,55,-8.3,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNDOORA,754500,770000,767000,698500,695000,34,143,-7.9,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNINYONG,470000,445000,572500,590000,605000,13,26,28.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNYIP,445000,558000,785000,545000,535000,7,23,20.2,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNSIDE,620000,616000,663000,673500,583800,8,30,-5.8,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNSIDE HEIGHTS,685000,595000,618000,651000,662500,10,43,-3.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURWOOD,1359000,1200000,1302500,1007500,1331000,9,45,-2.1,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURWOOD EAST,1055000,1106000,1088000,1000000,930000,10,68,-11.8,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAIRNLEA,772500,730000,807500,789500,800000,9,41,3.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA GULLY,312500,290800,318000,300000,310000,23,63,-0.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBERWELL,2169000,2295000,2022800,2278900,1995000,20,95,-8.0,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELLFIELD,505000,544000,530000,515000,575000,7,20,13.9,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELLS CREEK,483000,530000,442000,430000,545000,7,19,12.8,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPERDOWN,252500,295300,250000,258000,306500,16,54,21.4,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANADIAN,377500,357000,385100,427500,416000,19,59,10.2,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY,3268000,3100000,2625000,2700000,2670000,9,48,-18.3,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE PATERSON,560000,557500,657300,675000,445000,6,22,-20.5,-34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE SCHANCK,1075000,1010000,1018500,1095500,1312500,2,10,22.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPEL SOUND,510000,500000,600000,565000,527500,18,54,3.4,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARISBROOK,305000,315000,238500,185000,320000,3,8,NA,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLTON,1134000,1750000,1522500,1227500,1315000,1,17,16.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLTON NORTH,1512500,1816000,1347500,1600000,1520000,13,30,0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEGIE,1262500,1507500,1371000,1366000,1356000,11,36,7.4,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAROLINE SPRINGS,620000,652500,655000,680000,607500,32,152,-2.0,-10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARRUM,836300,750000,900000,979000,690000,7,22,-17.5,-29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARRUM DOWNS,527500,544600,575000,550000,580000,50,197,10.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTERTON,170000,122500,161500,120000,117500,10,32,-30.9,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLEMAINE,452000,559000,562500,480000,508800,28,79,12.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAULFIELD,1830000,1811000,2125000,1795000,1705000,3,13,-6.8,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAULFIELD EAST,1340000,1372500,1748500,900000,920000,1,8,-31.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAULFIELD NORTH,2200000,2625000,2557500,1956000,1709000,11,57,-22.3,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAULFIELD SOUTH,1360000,1722500,1725000,1727500,1735000,14,53,27.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHADSTONE,925000,1190000,1182000,966500,1145000,7,27,23.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLEMONT,460000,495300,540000,533500,535000,8,27,16.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLTON,141000,135000,197500,137500,150000,6,19,6.4,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELSEA,900000,960000,880000,985000,1025000,9,43,13.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELSEA HEIGHTS,710000,790400,845000,790000,770000,9,30,8.5,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELTENHAM,1137000,1175000,1170000,1146000,1085000,17,71,-4.6,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELTENHAM EAST,935000,955500,1038000,917500,930000,11,28,-0.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELTENHAM NORTH,1057500,1036000,950500,905000,815000,7,27,-22.9,-9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEWTON,475000,532500,576000,520000,403800,2,7,-15.0,-22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILTERN,187200,221500,311100,311100,321000,6,10,71.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRNSIDE PARK,730000,675000,760000,770300,745000,26,108,2.1,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCHILL,180000,192300,197000,210000,235000,27,72,30.6,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARINDA,789000,846600,852500,843800,890000,4,29,12.8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAYTON,1082500,1166000,1121000,1030000,1005900,4,24,-7.1,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAYTON NORTH,1240000,1644000,1655000,1444400,895100,1,5,-27.8,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAYTON SOUTH,832000,880000,800000,830000,830000,5,23,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIFTON HILL,1250000,1553000,1538500,1345000,1040000,6,31,-16.8,-22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIFTON SPRINGS,459800,489000,517000,505500,500000,45,118,8.7,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLUNES,310000,372500,305000,360000,292500,10,19,-5.6,-18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLYDE,542500,582000,565800,590000,587500,34,130,8.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLYDE NORTH,571000,605000,600000,592000,575000,60,224,0.7,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBBLEBANK,493000,524000,465000,528500,495000,8,27,0.4,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBDEN,195000,300000,230000,276500,293000,4,19,50.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBRAM,302500,275000,304000,252000,239000,35,76,-21.0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBURG,953000,1070000,1132500,970000,1080000,26,129,13.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBURG EAST,960000,934000,943500,945000,1090000,5,41,13.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBURG NORTH,850000,825000,915000,862600,880000,9,38,3.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCKATOO,570000,660000,600000,509000,635000,13,34,11.4,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHUNA,197000,192500,193000,240000,225000,17,42,14.2,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLAC,300100,315000,352500,337500,347000,37,117,15.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLDSTREAM,638600,645000,656000,652000,647800,2,18,1.4,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLERAINE,103000,165000,120000,147500,125000,11,20,21.4,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLINGWOOD,1010000,1173000,1172500,1602500,1048000,6,28,3.8,-34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOLAROO,438300,455000,480000,420300,500000,4,13,14.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COONANS HILL,815000,905000,985000,980000,1050000,3,15,28.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COONGULLA,285000,355800,310000,310000,265000,2,3,-7.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORINELLA,335000,345000,467500,450000,595000,6,19,77.6,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORIO,350000,374800,367500,380000,392500,56,147,12.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONET BAY,347500,388800,380000,380000,364000,8,25,4.7,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROROOKE,215000,142000,142000,335000,335000,0,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRYONG,282500,241000,211500,190000,258500,8,25,-8.5,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COWES,600000,605000,542000,602300,580000,13,32,-3.3,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COWES WEST,520000,475000,488500,466300,535300,34,110,2.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAIGIEBURN,530000,539000,560800,567000,572600,126,481,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANBOURNE,508800,501000,518800,492500,504900,50,174,-0.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANBOURNE EAST,559500,593000,560000,540000,580000,47,155,3.7,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANBOURNE NORTH,578200,570000,575000,596500,580000,33,168,0.3,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANBOURNE SOUTH,625000,636800,637900,640000,580500,2,8,-7.1,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANBOURNE WEST,511000,530000,540000,530500,542500,43,212,6.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREMORNE,1190000,1299500,1472500,1051000,1028000,3,12,-13.6,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESWICK,350000,365000,370000,380000,395000,17,51,12.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIB POINT,568500,502800,577000,578800,580000,12,33,2.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROYDON,725000,780000,767500,737000,742000,39,158,2.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROYDON HILLS,815500,868000,955000,1004000,880000,7,26,7.9,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
