Median House Prices 3rd Quarter 2020,,,,,,,,Change %,Change %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROYDON NORTH,815500,864000,902500,850000,802500,12,44,-1.6,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROYDON SOUTH,688000,750000,762500,828000,690000,11,40,0.3,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURLEWIS,535000,570000,546000,485000,572500,20,45,7.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS,442500,460000,480000,450000,475500,8,36,7.5,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALYSTON,373500,410000,350000,385000,445000,1,13,19.1,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANDENONG,600000,623500,630000,616000,599000,25,101,-0.2,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANDENONG NORTH,605000,637500,651000,630000,635000,26,92,5.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARLEY,520100,555000,535000,485000,470000,22,75,-9.6,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAYLESFORD,560000,600000,665000,638800,665000,19,55,18.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEPDENE,2680000,2880000,5475000,2915000,3150000,5,9,17.5,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEER PARK,540000,602500,584500,558000,565000,28,121,4.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELACOMBE,365000,395000,365000,392500,425000,27,64,16.4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAHEY,535000,590000,602000,541500,580000,15,45,8.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENNINGTON,280000,405000,427300,390000,382500,8,25,36.6,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRIMUT,671500,680000,630000,645000,607000,4,33,-9.6,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND CREEK,775000,741800,762200,749000,770000,18,79,-0.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGGERS REST,495000,567500,530000,537800,573500,10,39,15.9,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMBOOLA,95000,93000,157000,222500,150000,13,23,57.9,-32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINGLEY VILLAGE,860000,890000,940000,880000,920000,13,37,7.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINNER PLAIN,610000,515000,452500,557500,697500,6,16,14.3,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONALD,145000,105000,164000,125000,132000,12,31,-9.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONCASTER,1280000,1300000,1326300,1235000,1255000,23,102,-2.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONCASTER EAST,1185000,1267500,1270400,1237500,1217500,38,158,2.7,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNYBROOK,510000,540000,622500,707500,725000,1,13,42.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONVALE,1285000,1199000,1150000,1123500,1115000,8,43,-13.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOREEN,585000,611000,620000,597500,600500,62,245,2.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOVETON,450000,485000,490000,463000,490000,23,75,8.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROMANA,708000,655500,725000,800000,760000,18,76,7.3,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROUIN,425000,451300,467500,462500,450000,66,168,5.9,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYSDALE,572500,636300,630000,517500,600000,15,37,4.8,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNKELD,292500,172500,267500,610000,220000,6,11,-24.8,-63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNNSTOWN,-,607500,549900,390000,485000,1,3,0.0,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNOLLY,257000,158800,209000,245000,212000,3,9,-17.5,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLE POINT,382000,425000,370800,468000,397500,5,18,4.1,-15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLEHAWK,329000,336000,344800,325500,363000,19,72,10.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLEMONT,1799000,1630000,1875000,2029000,1790000,4,27,-0.5,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST BAIRNSDALE,235000,313000,335000,314500,316000,8,15,34.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST BENDIGO,388500,409300,398500,344000,408300,12,27,5.1,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GEELONG,590000,710000,865000,760000,815000,16,35,38.1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MELBOURNE,3350000,3837500,2350000,2100000,2100000,0,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST WARBURTON,525000,469000,532500,593000,593000,0,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTWOOD,440000,410000,395000,437500,413000,13,38,-6.1,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHUCA,386300,370000,382000,427500,382500,62,143,-1.0,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDENHOPE,104000,162800,162800,177000,160000,12,13,53.8,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDITHVALE,950000,1055000,1067500,960000,1005000,11,44,5.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EILDON,207500,260000,282500,283000,290000,5,20,39.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLIMINYT,462500,469000,380000,482500,475000,7,27,2.7,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELMORE,332500,210500,235000,377500,273400,4,14,-17.8,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSTERNWICK,2055000,1927500,2375000,2062500,2355000,8,25,14.6,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTHAM,937500,982500,915000,986000,855000,15,93,-8.8,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTHAM NORTH,1044500,930000,1000000,991000,1135000,7,38,8.7,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELWOOD,1955000,1995000,1730000,2040000,2277500,14,61,16.5,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERALD,662500,700000,742500,700000,670000,7,40,1.1,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVOUR HILLS,620000,638000,658300,645000,648300,31,144,4.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPPING,524400,580000,579800,567500,570000,51,194,8.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPSOM,366300,375000,410000,416800,430000,23,60,17.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSENDON,1400000,1550000,1453500,1387500,1280000,19,91,-8.6,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSENDON NORTH,935000,1100000,1090000,1260000,1047500,2,11,12.0,-16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSENDON WEST,1140000,1320000,1378000,1300000,1257500,2,12,10.3,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUMEMMERRING,561500,520000,556500,525000,540000,1,13,-3.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUREKA,345000,371500,315000,475000,320000,3,6,-7.2,-32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROA,250000,338000,360000,355000,360000,14,31,44.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYNESBURY,599500,578000,547000,630000,570000,5,29,-4.9,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD,1060000,1215000,1445000,1240000,1425500,10,23,34.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRHAVEN,742500,1395000,1420000,2200000,1220000,1,8,64.3,-44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAWKNER,690000,702000,708300,710000,687000,20,81,-0.4,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERNTREE GULLY,706500,765000,758300,729400,740000,33,157,4.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERNY CREEK,728000,703500,920000,815000,750000,3,8,3.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINGAL,1280000,1860000,991300,1176000,1475000,6,16,15.2,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITZROY,1392500,1570000,1340000,1459000,1440000,6,33,3.4,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FITZROY NORTH,1275000,1450000,1672500,1625000,1450000,8,59,13.7,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIVEWAYS,957500,637000,490000,411000,535000,5,9,-44.1,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEMINGTON,1100000,1019500,1017000,915000,985000,3,29,-10.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINDERS,1400000,1415000,1653000,2472500,2432500,6,18,73.8,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORA HILL,361000,385000,384500,362500,390000,15,39,8.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOWERDALE,285000,405000,420000,398000,317500,2,9,11.4,-20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTSCRAY,816000,883500,970000,810000,801100,17,69,-1.8,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST HILL,990000,925000,1075000,978500,962500,6,38,-2.8,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER,320000,330000,400000,349000,387500,6,18,21.1,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKSTON,586300,600000,618000,616600,615000,81,292,4.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKSTON NORTH,427500,430800,455000,435000,428000,22,67,0.1,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKSTON SOUTH,827500,841500,820000,866500,840000,41,135,1.5,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRASER RISE,579000,640000,635000,605000,611800,16,63,5.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYANSFORD,650000,787000,750000,1007500,806000,5,11,NA,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARDEN CITY,1470000,1300000,1387500,1315000,1750000,1,6,19.0,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARFIELD,540000,530000,600000,610000,623300,4,11,15.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEELONG,710800,658000,795000,1150000,823500,17,35,15.9,-28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEELONG WEST,680000,688000,770000,705000,723600,30,89,6.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMBROOK,602500,676000,630000,600000,730000,3,12,21.2,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISBORNE,730000,757500,782000,810000,830000,26,90,13.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLADSTONE PARK,642000,650000,650000,610000,632000,11,55,-1.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN HUNTLY,1602000,1440000,1350500,1149000,1017500,4,11,-36.5,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN IRIS,1920000,2094000,2100000,2080000,2142000,27,106,11.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN WAVERLEY,1250000,1339800,1285000,1236000,1260000,43,192,0.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENROWAN,365000,372500,372500,330000,345000,3,8,-5.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENROY,705000,747500,740000,715000,760000,19,87,7.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN BEACH,255300,220000,300000,250000,262500,10,21,2.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN POINT (BALLARAT),392500,352500,378500,467500,395000,11,34,0.6,-15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN SQUARE,333800,342500,365000,342600,386500,46,131,15.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORDON,380000,630000,649500,649500,559000,4,6,47.1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOUGHS BAY,274800,365000,500000,263000,382000,3,10,39.0,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOWANBRAE,697000,750000,764000,647500,585000,3,15,-16.1,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANTVILLE,392500,460000,452500,360000,375000,5,24,-4.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN LAKE,304500,195000,375000,360000,253000,2,13,-16.9,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENSBOROUGH,785600,825000,835000,864300,810000,35,114,3.1,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENVALE,707500,720000,721000,705000,721500,31,133,2.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROVEDALE,480000,530000,547000,530000,522500,62,158,8.9,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADFIELD,726500,750000,730000,716300,780000,9,42,7.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLAM,555000,577500,590000,605500,585300,13,52,5.5,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLS GAP,302800,320000,397500,350000,345000,7,15,14.0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMILTON,200000,220000,237500,212500,253800,70,171,26.9,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMLYN HEIGHTS,550000,550500,560000,577500,535000,35,90,-2.7,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMPTON,1799000,1918000,1855000,1980000,2138800,20,76,18.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMPTON EAST,1235000,1255000,1330000,1285000,1207500,6,42,-2.2,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMPTON PARK,515500,510000,525000,530000,541500,42,165,5.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARCOURT,300000,417500,490000,490000,570000,5,10,90.0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARKNESS,480000,480000,470000,465000,463000,37,134,-3.5,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASTINGS,508500,512500,555000,555000,560000,19,83,10.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASTINGS WEST,441900,450000,561000,547600,465000,11,27,5.2,-15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWTHORN,1865000,2427500,2665000,2400000,2500000,21,83,34.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWTHORN EAST,2412500,2250000,2177500,2370000,2806000,11,44,16.3,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALESVILLE,547500,613000,570000,610000,591000,12,50,7.9,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATHCOTE,295500,320000,370000,340000,280000,5,23,-5.2,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATHERTON,985000,1000000,865000,991000,860000,5,21,-12.7,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATHMONT,852000,915000,890000,940000,927500,14,46,8.9,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIDELBERG,1090500,1305000,1325000,1092000,1180000,9,27,8.2,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIDELBERG HEIGHTS,775000,770000,916000,705000,815000,8,32,5.2,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIDELBERG WEST,670000,662300,795000,681000,658500,4,28,-1.7,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPBURN,445000,450000,485000,560000,482500,4,10,8.4,-13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPBURN SPRINGS,540000,570000,558800,565000,570000,7,16,5.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERNE HILL,497500,532500,542500,583500,631000,13,37,26.8,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEYFIELD,169300,183500,207500,197000,240000,15,34,41.8,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEYWOOD,185500,162500,210000,188000,169800,8,21,-8.5,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHETT,1280000,1333800,1300000,1300000,1230000,13,70,-3.9,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHTON,695000,692500,730000,710000,742500,77,199,6.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE (MELTON),630300,650000,671000,670000,657500,18,90,4.3,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPETOUN,91300,152000,160000,168000,110000,8,18,20.5,-34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPPERS CROSSING,537500,525000,535000,550000,550000,62,248,2.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORSHAM,269000,265000,254000,242500,260000,93,243,-3.3,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGHESDALE,1125500,1308500,1457500,1402500,1522500,5,15,35.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGDALE,871000,1016000,1220300,1040000,1040000,0,8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTLY,348800,367500,372500,371000,395000,18,36,13.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURSTBRIDGE,670000,740500,740000,772500,720000,3,12,7.5,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDENTED HEAD,797500,615500,605000,497500,537500,6,21,-32.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGLEWOOD,250000,185000,275000,195000,212000,7,16,-15.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVERLOCH,575000,625000,649500,630000,622500,38,132,8.3,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVERMAY PARK,450000,500000,515000,440000,485000,15,27,7.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRONBARK,313000,280000,465500,372900,395000,5,17,26.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRYMPLE,418000,393000,315000,290000,383300,22,52,-8.3,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVANHOE,1700000,1482500,1565000,1590000,1880000,9,42,10.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVANHOE EAST,1853800,2044000,2145000,1712500,3125000,2,15,68.6,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACANA,524500,517500,587500,615000,555000,2,8,5.8,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKASS FLAT,313500,338500,415000,415000,360000,9,20,14.8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN JUC,887000,870100,933000,920000,897500,12,36,1.2,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEERALANG NORTH,185000,242500,236500,337500,175000,7,15,-5.4,-48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEPARIT,83500,79500,90000,150000,115000,2,11,37.7,-23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNCTION VILLAGE,453200,535000,467500,515000,445000,1,5,-1.8,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNORTOUN,530000,537500,590000,614000,570000,5,12,7.5,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALIMNA,269000,310000,320000,350000,356000,10,20,32.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALKALLO,547500,564000,545000,555000,550000,11,47,0.5,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALLISTA,750000,630000,563800,725000,707500,4,7,-5.7,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALORAMA,590000,695000,609000,657500,796000,2,9,34.9,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO FLAT,355000,350000,370000,360500,372500,51,148,4.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO GROUND SOUTH,800000,970000,1080000,845000,1350000,3,11,68.8,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANIVA,119800,177000,137500,96000,99000,5,13,-17.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEALBA,612000,598000,600000,595000,580000,9,22,-5.2,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEILOR,865000,875000,800000,913800,792500,6,27,-8.4,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEILOR DOWNS,630000,690000,650500,680600,649000,12,38,3.0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEILOR EAST,885000,815000,834500,825000,840000,28,105,-5.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEILOR PARK,735000,750000,737500,689000,725000,3,19,-1.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNINGTON,372500,374500,411000,437500,431000,20,60,15.7,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENSINGTON,947000,1180000,1170000,985000,1133500,12,55,19.7,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERANG,168500,147000,160000,180000,195000,15,46,15.7,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEW,2200000,2700000,2200000,2150000,2400000,21,112,9.1,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEW EAST,1631000,2000000,1540500,1785000,1785000,0,7,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEW NORTH,1897500,1770000,2221500,1600000,1800000,9,30,-5.1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEYSBOROUGH,770000,747500,773500,720000,760000,41,165,-1.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIALLA,453800,470000,420000,455000,495000,36,82,9.1,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILCUNDA,440000,567500,662000,662500,580000,1,8,31.8,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILLARA (WODONGA),525000,430000,421000,427500,470000,12,34,-10.5,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILMORE,422000,435000,476300,457500,470000,25,93,11.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILSYTH,676300,677500,693300,658000,640000,25,102,-5.4,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILSYTH SOUTH,680000,854000,856500,875000,912000,3,12,34.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGLAKE,555000,550000,620000,585000,530000,3,13,-4.5,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS PARK,499000,522500,550000,530000,525000,9,45,5.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSBURY,676000,697500,729000,667500,912500,3,15,35.0,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSVILLE,1187500,998000,923500,1007000,1040000,8,21,-12.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNOXFIELD,846300,784500,812400,790000,801000,9,41,-5.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOO WEE RUP,570000,547500,510000,486300,480000,11,32,-15.8,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOONDROOK,218500,231300,253800,170000,335000,5,14,53.3,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOROIT,327500,380000,360000,365000,397200,8,25,21.3,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORUMBURRA,326500,316300,385000,390000,360000,19,58,10.3,-7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUNJANG,412500,429000,425000,416000,443800,28,95,7.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYABRAM,261500,262500,267000,280000,320000,29,79,22.4,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
