SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales Jul - Sep 20,No of Sales YTD,Change % previous year,Change % previous quarter
LAVERTON SOUTH,610300,650000,652500,645000,630000,11,40,3.2,-2.3
WESTALL,748000,761300,739000,737000,772000,7,27,3.2,4.7
TEMPLESTOWE LOWER,1102500,1200000,1250000,1144300,1138500,26,87,3.3,-0.5
CAPEL SOUND,510000,500000,600000,565000,527500,18,54,3.4,-6.6
FITZROY,1392500,1570000,1340000,1459000,1440000,6,33,3.4,-1.3
MOUNT HELEN,445000,509000,450000,440000,460000,12,44,3.4,4.5
WILLIAMSTOWN NORTH,851000,1520000,1290000,890000,880000,4,11,3.4,-1.1
ANGLESEA,1000000,1115000,965000,863000,1035000,26,66,3.5,19.9
BAIRNSDALE,274500,286000,293800,277500,284000,65,151,3.5,2.3
BEACONSFIELD,650000,640000,710000,765000,672500,12,65,3.5,-12.1
COBURG NORTH,850000,825000,915000,862600,880000,9,38,3.5,2.0
LANG LANG,497500,507000,530000,530000,515000,4,20,3.5,-2.8
NEWCOMB,455000,434000,468000,437500,470700,21,52,3.5,7.6
CAIRNLEA,772500,730000,807500,789500,800000,9,41,3.6,1.3
LOCH SPORT,262500,242500,239500,221500,272000,18,64,3.6,22.8
MARONG,440000,375000,375000,465000,456000,10,20,3.6,-1.9
MARSHALL,492500,480000,485000,499000,510000,15,34,3.6,2.2
PRESTON,956000,1043500,1026000,987000,990800,26,135,3.6,0.4
WEST WODONGA,346500,340000,392500,372500,359000,63,153,3.6,-3.6
CRANBOURNE EAST,559500,593000,560000,540000,580000,47,155,3.7,7.4
LAVERTON,547500,508400,560000,510000,568000,19,49,3.7,11.4
LEONGATHA,376000,360000,395000,385000,390000,23,71,3.7,1.3
COLLINGWOOD,1010000,1173000,1172500,1602500,1048000,6,28,3.8,-34.6
MOUNT DUNEED,563500,607000,570000,585000,585000,26,55,3.8,0.0
WATSONIA,753500,791000,826000,761300,782500,14,47,3.8,2.8
WYNDHAM VALE,465000,485000,470000,473500,482500,42,173,3.8,1.9
WARRAGUL,460000,473000,485000,487500,477900,81,257,3.9,-2.0
CHURCHILL,180000,192300,197000,210000,235000,27,72,30.6,11.9
MONT ALBERT,1960000,1655000,2050000,1478000,2560000,2,16,30.6,73.2
RED CLIFFS,206500,210200,210000,250000,270000,11,50,30.8,8.0
WINCHELSEA,376500,438500,471300,455000,492500,10,21,30.8,8.2
KILCUNDA,440000,567500,662000,662500,580000,1,8,31.8,-12.5
KALIMNA,269000,310000,320000,350000,356000,10,20,32.3,1.7
LANCEFIELD,477000,545000,510000,537500,632000,3,15,32.5,17.6
TOONGABBIE,270000,280300,210000,299000,359000,5,8,33.0,20.1
NATHALIA,181500,225000,240000,270000,242500,11,21,33.6,-10.2
HAWTHORN,1865000,2427500,2665000,2400000,2500000,21,83,34.0,4.2
KILSYTH SOUTH,680000,854000,856500,875000,912000,3,12,34.1,4.2
NAGAMBIE,365000,430000,457500,423800,490000,7,23,34.2,15.6
EAST BAIRNSDALE,235000,313000,335000,314500,316000,8,15,34.5,0.5
FAIRFIELD,1060000,1215000,1445000,1240000,1425500,10,23,34.5,15.0
KALORAMA,590000,695000,609000,657500,796000,2,9,34.9,21.1
KINGSBURY,676000,697500,729000,667500,912500,3,15,35.0,36.7
MYRTLEFORD,296000,332500,351300,370000,400000,17,46,35.1,8.1
HUGHESDALE,1125500,1308500,1457500,1402500,1522500,5,15,35.3,8.6
OAKLEIGH,1100000,1135000,1200000,1065000,1490000,5,31,35.5,39.9
ASCOT VALE,978800,1030000,1205000,1280000,1328800,18,94,35.8,3.8
NEERIM SOUTH,375000,520000,577500,425000,511500,2,11,36.4,20.4
DENNINGTON,280000,405000,427300,390000,382500,8,25,36.6,-1.9
JEPARIT,83500,79500,90000,150000,115000,2,11,37.7,-23.3
EAST GEELONG,590000,710000,865000,760000,815000,16,35,38.1,7.2
GOUGHS BAY,274800,365000,500000,263000,382000,3,10,39.0,45.2
VENTNOR,487500,530000,535000,910000,677500,4,21,39.0,-25.5
EILDON,207500,260000,282500,283000,290000,5,20,39.8,2.5
RUTHERGLEN,327000,275000,330000,350000,340000,12,23,4.0,-2.9
EAGLE POINT,382000,425000,370800,468000,397500,5,18,4.1,-15.1
TRENTHAM,622000,615000,592500,585000,647500,8,27,4.1,10.7
SHEPPARTON,297500,274000,280000,310000,310000,136,362,4.2,0.0
HILLSIDE (MELTON),630300,650000,671000,670000,657500,18,90,4.3,-1.9
WANDANA HEIGHTS,690000,878000,980000,697500,719500,10,17,4.3,3.2
LAUNCHING PLACE,512500,566300,522500,600000,535000,5,18,4.4,-10.8
UPWEY,742000,718000,750000,700500,774500,12,49,4.4,10.6
ST LEONARDS,577500,572500,520000,562500,603300,22,74,4.5,7.2
BREAKWATER,392000,405000,405000,418300,410000,1,5,4.6,-2.0
DEER PARK,540000,602500,584500,558000,565000,28,121,4.6,1.3
ENDEAVOUR HILLS,620000,638000,658300,645000,648300,31,144,4.6,0.5
MONTROSE,723500,735000,720000,710000,757000,9,35,4.6,6.6
ROXBURGH PARK,545000,570000,579000,547500,570000,28,137,4.6,4.1
CORONET BAY,347500,388800,380000,380000,364000,8,25,4.7,-4.2
FERNTREE GULLY,706500,765000,758300,729400,740000,33,157,4.7,1.5
MANOR LAKES,535000,563500,555000,545000,560000,23,103,4.7,2.8
MINYIP,64500,140000,95000,65300,67500,6,14,4.7,3.4
NEWPORT,1075000,1000000,1082500,999000,1125000,22,87,4.7,12.6
SOUTH MORANG,621000,661000,661000,609000,650000,43,148,4.7,6.7
BELGRAVE,620000,691000,664100,641000,650000,13,37,4.8,1.4
BLIND BIGHT,520000,555000,600000,560000,545000,4,15,4.8,-2.7
DRYSDALE,572500,636300,630000,517500,600000,15,37,4.8,15.9
SEBASTOPOL,326000,320000,344500,327500,341800,42,116,4.8,4.4
THOMASTOWN,600000,615000,632000,577000,628800,16,80,4.8,9.0
FRANKSTON,586300,600000,618000,616600,615000,81,292,4.9,-0.3
KANGAROO FLAT,355000,350000,370000,360500,372500,51,148,4.9,3.3
LAKES ENTRANCE,277000,336500,330000,313500,390000,41,96,40.8,24.4
SUNDERLAND BAY,335000,412000,510800,390000,472000,5,10,40.9,21.0
TERANG,200000,172000,203500,268000,282500,12,30,41.3,5.4
HEYFIELD,169300,183500,207500,197000,240000,15,34,41.8,21.8
MCCRAE,625000,815000,850000,960000,887500,12,50,42.0,-7.6
DONNYBROOK,510000,540000,622500,707500,725000,1,13,42.2,2.5
BEAUFORT,225000,238500,294500,320000,322500,2,17,43.3,0.8
RAYMOND ISLAND,300000,365000,650000,565000,431800,10,14,43.9,-23.6
EUROA,250000,338000,360000,355000,360000,14,31,44.0,1.4
RUSHWORTH,162500,258000,185000,200000,235000,7,18,44.6,17.5
LISMORE,138500,87000,237500,210000,201500,2,7,45.5,-4.0
NYAH WEST,88500,97000,120000,120000,129000,5,8,45.8,NA
MOE,190000,241300,235000,209000,278500,40,137,46.6,33.3
AVOCA,160000,230000,265000,225000,235000,2,15,46.9,4.4
GORDON,380000,630000,649500,649500,559000,4,6,47.1,NA
TIMBOON,277500,260000,405000,340000,412500,4,12,48.6,21.3
BALLARAT CENTRAL,505000,522500,590000,550000,530000,31,83,5.0,-3.6
DANDENONG NORTH,605000,637500,651000,630000,635000,26,92,5.0,0.8
HAMPTON PARK,515500,510000,525000,530000,541500,42,165,5.0,2.2
PORT FAIRY,625000,650000,632500,615000,656500,14,46,5.0,6.7
EAST BENDIGO,388500,409300,398500,344000,408300,12,27,5.1,18.7
KYNETON,590000,622500,613800,570000,620000,29,74,5.1,8.8
HASTINGS WEST,441900,450000,561000,547600,465000,11,27,5.2,-15.1
HEIDELBERG HEIGHTS,775000,770000,916000,705000,815000,8,32,5.2,15.6
KINGS PARK,499000,522500,550000,530000,525000,9,45,5.2,-0.9
MOUNT ELIZA,1150000,1213800,1280000,1200000,1210000,45,172,5.2,0.8
ST ALBANS PARK,420000,432500,447500,450000,442000,9,36,5.2,-1.8
YEA,470500,420000,395000,421300,495000,6,21,5.2,17.5
SUNBURY,520000,560000,575000,550000,547500,86,357,5.3,-0.5
TAYLORS LAKES,759500,765000,770000,722500,800000,9,43,5.3,10.7
BACCHUS MARSH,498500,505000,490000,525000,525500,36,98,5.4,0.1
HALLAM,555000,577500,590000,605500,585300,13,52,5.5,-3.3
BRUNSWICK WEST,1074500,1140000,1120000,1180000,1135000,16,55,5.6,-3.8
HEPBURN SPRINGS,540000,570000,558800,565000,570000,7,16,5.6,0.9
MENTONE,980000,1145000,972500,1160000,1035000,7,48,5.6,-10.8
MURCHISON,219500,253500,275000,308000,231800,2,10,5.6,-24.8
PETERBOROUGH,407300,825000,650000,650000,430000,4,9,5.6,NA
FRASER RISE,579000,640000,635000,605000,611800,16,63,5.7,1.1
MONBULK,610000,663000,633500,620000,645000,15,41,5.7,4.0
EDITHVALE,950000,1055000,1067500,960000,1005000,11,44,5.8,4.7
JACANA,524500,517500,587500,615000,555000,2,8,5.8,-9.8
BLACKBURN,1310000,1380000,1355500,1387500,1387500,22,84,5.9,0.0
DROUIN,425000,451300,467500,462500,450000,66,168,5.9,-2.7
MURRUMBEENA,1400800,1401300,1495000,1599000,1483000,6,27,5.9,-7.3
SUNSHINE,625000,770000,819500,700000,662000,7,46,5.9,-5.4
THE HONEYSUCKLES,215000,350000,285000,465000,322500,2,10,50.0,-30.6
COBDEN,195000,300000,230000,276500,293000,4,19,50.3,6.0
MANIFOLD HEIGHTS,583500,752500,1134500,960000,892500,8,22,53.0,-7.0
KOONDROOK,218500,231300,253800,170000,335000,5,14,53.3,97.1
EDENHOPE,104000,162800,162800,177000,160000,12,13,53.8,-9.6
ST ANDREWS BEACH,695000,937500,992500,1370000,1076300,6,11,54.9,-21.4
MORTLAKE,162500,165000,185500,180000,252500,10,25,55.4,40.3
AVENEL,351000,370000,445000,535000,550000,3,9,56.7,2.8
SOUTH GEELONG,677300,691500,679000,610000,1065000,2,4,57.3,74.6
DIMBOOLA,95000,93000,157000,222500,150000,13,23,57.9,-32.6
ARMSTRONG CREEK,540000,527500,531000,550000,572500,65,156,6.0,4.1
STRATHDALE,467000,490000,521000,410000,495000,27,67,6.0,20.7
WURRUK,245000,245000,180000,235000,260000,5,9,6.1,10.6
CRANBOURNE WEST,511000,530000,540000,530500,542500,43,212,6.2,2.3
LONGWARRY,405000,442500,453000,417500,430000,10,29,6.2,3.0
MOOROOLBARK,670800,735000,723000,687000,712500,48,175,6.2,3.7
RYE,705000,685000,720000,716000,749000,63,207,6.2,4.6
SEAFORD,655500,685000,690000,677500,696000,26,137,6.2,2.7
MILDURA,315000,335100,315000,336000,335000,165,439,6.3,-0.3
CHARLTON,141000,135000,197500,137500,150000,6,19,6.4,9.1
GEELONG WEST,680000,688000,770000,705000,723600,30,89,6.4,2.6
OSBORNE,771500,830000,853000,850000,820800,18,63,6.4,-3.4
SUNSET STRIP,460000,475800,510500,410000,489500,2,13,6.4,19.4
RINGWOOD EAST,779000,885000,925000,860000,830000,13,45,6.5,-3.5
SANCTUARY LAKES,620000,638000,620000,670000,660000,52,199,6.5,-1.5
VIEWBANK,920000,998000,985000,915000,980000,9,33,6.5,7.1
SPRINGVALE SOUTH,685000,720000,712000,685000,730000,11,37,6.6,6.6
STRATHMORE,1325000,1500000,1218000,1260000,1412500,10,47,6.6,12.1
SUNSHINE NORTH,610000,677500,655000,647000,650000,15,43,6.6,0.5
APOLLO BAY,600000,545000,730000,590000,640000,7,23,6.7,8.5
NOBLE PARK NORTH,597000,660000,676000,645000,637000,5,22,6.7,-1.2
NORLANE,350000,350000,366500,363500,373500,27,75,6.7,2.8
TRAFALGAR,407500,382500,410000,470000,435000,25,53,6.7,-7.4
HIGHTON,695000,692500,730000,710000,742500,77,199,6.8,4.6
WEST FOOTSCRAY,830000,868000,840000,770000,886500,23,77,6.8,15.1
FAIRHAVEN,742500,1395000,1420000,2200000,1220000,1,8,64.3,-44.5
OLINDA,700000,815000,710000,590000,1150000,3,11,64.3,94.9
IVANHOE EAST,1853800,2044000,2145000,1712500,3125000,2,15,68.6,82.5
KANGAROO GROUND SOUTH,800000,970000,1080000,845000,1350000,3,11,68.8,59.8
BROWN HILL,435000,467500,486000,465000,465500,16,36,7.0,0.1
CURLEWIS,535000,570000,546000,485000,572500,20,45,7.0,18.0
DINGLEY VILLAGE,860000,890000,940000,880000,920000,13,37,7.0,4.5
NORTH GEELONG,490000,548000,682500,555000,525000,17,42,7.1,-5.4
PAKENHAM,485500,503800,530000,493000,520000,171,596,7.1,5.5
BRIAR HILL,816300,868000,900000,845000,875000,2,9,7.2,3.6
MALDON,482500,532500,424500,410000,517300,22,32,7.2,26.2
POINT LONSDALE,795000,845000,995000,812500,852500,22,50,7.2,4.9
DROMANA,708000,655500,725000,800000,760000,18,76,7.3,-5.0
LYNDHURST,661500,707500,695000,700800,710000,17,62,7.3,1.3
CARNEGIE,1262500,1507500,1371000,1366000,1356000,11,36,7.4,-0.7
HADFIELD,726500,750000,730000,716300,780000,9,42,7.4,8.9
LARA LAKE,540000,550500,560800,545000,580000,48,108,7.4,6.4
DALLAS,442500,460000,480000,450000,475500,8,36,7.5,5.7
HURSTBRIDGE,670000,740500,740000,772500,720000,3,12,7.5,-6.8
JUNORTOUN,530000,537500,590000,614000,570000,5,12,7.5,-7.2
SEVILLE EAST,509500,582000,598000,598000,547500,2,3,7.5,NA
WATTLE GLEN,815000,755000,765000,822900,876000,3,13,7.5,6.5
KURUNJANG,412500,429000,425000,416000,443800,28,95,7.6,6.7
WY YUNG,360000,311000,315000,380000,387500,7,21,7.6,2.0
YARRAM,224000,249800,259000,247500,241000,11,37,7.6,-2.6
OFFICER,550000,554000,587500,590000,592500,46,179,7.7,0.4
GLENROY,705000,747500,740000,715000,760000,19,87,7.8,6.3
INVERMAY PARK,450000,500000,515000,440000,485000,15,27,7.8,10.2
TRARALGON,325000,340800,319500,333800,350300,158,412,7.8,4.9
WODONGA,320000,353500,359000,340000,345000,88,273,7.8,1.5
CROYDON HILLS,815500,868000,955000,1004000,880000,7,26,7.9,-12.4
HEALESVILLE,547500,613000,570000,610000,591000,12,50,7.9,-3.1
LUCAS,431000,465000,480000,440000,465000,25,64,7.9,5.7
CHILTERN,187200,221500,311100,311100,321000,6,10,71.5,NA
ROSEDALE,177500,215000,218000,260000,305000,9,25,71.8,17.3
FLINDERS,1400000,1415000,1653000,2472500,2432500,6,18,73.8,-1.6
CORINELLA,335000,345000,467500,450000,595000,6,19,77.6,32.2
ASPENDALE,1032500,963000,1187500,1031500,1115000,20,56,8.0,8.1
CRAIGIEBURN,530000,539000,560800,567000,572600,126,481,8.0,1.0
FLORA HILL,361000,385000,384500,362500,390000,15,39,8.0,7.6
SEABROOK,578800,673000,655000,647500,625000,9,40,8.0,-3.5
SOUTH MELBOURNE,1528000,1720000,1550000,1337500,1650000,11,52,8.0,23.4
VENUS BAY,335000,342500,350000,359000,361800,38,87,8.0,0.8
BENALLA,286500,292000,298000,269500,310000,47,134,8.2,15.0
HEIDELBERG,1090500,1305000,1325000,1092000,1180000,9,27,8.2,8.1
WIMBLEDON HEIGHTS,388300,447500,405000,465000,420000,6,15,8.2,-9.7
CLYDE,542500,582000,565800,590000,587500,34,130,8.3,-0.4
INVERLOCH,575000,625000,649500,630000,622500,38,132,8.3,-1.2
DELAHEY,535000,590000,602000,541500,580000,15,45,8.4,7.1
HEPBURN,445000,450000,485000,560000,482500,4,10,8.4,-13.8
OAKLEIGH SOUTH,886000,1112500,1015000,970100,960000,16,57,8.4,-1.0
THORNHILL PARK,535000,552500,435000,570000,580000,9,28,8.4,1.8
CHELSEA HEIGHTS,710000,790400,845000,790000,770000,9,30,8.5,-2.5
NARRE WARREN SOUTH,620000,636800,647500,645000,672500,45,194,8.5,4.3
WENDOUREE,331900,350000,357500,350000,360000,41,136,8.5,2.9
ABBOTSFORD,1160000,1027500,1230000,1080000,1260000,8,33,8.6,16.7
LALOR,580000,627000,625000,590000,629800,30,118,8.6,6.7
TECOMA,650000,797500,727500,667500,706000,3,15,8.6,5.8
BELL POST HILL,457500,476000,560000,492500,497400,27,60,8.7,1.0
BITTERN,577500,605000,615000,567500,627500,10,24,8.7,10.6
CLIFTON SPRINGS,459800,489000,517000,505500,500000,45,118,8.7,-1.1
ELTHAM NORTH,1044500,930000,1000000,991000,1135000,7,38,8.7,14.5
EPPING,524400,580000,579800,567500,570000,51,194,8.7,0.4
LILYDALE,657500,700000,725000,695000,715000,30,114,8.7,2.9
BLACK ROCK,1939300,1727500,1920000,2220000,2110000,2,29,8.8,-5.0
RHYLL,530000,875000,495000,571500,576800,4,13,8.8,0.9
ROSEBUD,542500,560000,582500,535000,590000,57,184,8.8,10.3
DOVETON,450000,485000,490000,463000,490000,23,75,8.9,5.8
GROVEDALE,480000,530000,547000,530000,522500,62,158,8.9,-1.4
HEATHMONT,852000,915000,890000,940000,927500,14,46,8.9,-1.3
PARADISE BEACH,212000,235000,248000,183000,382500,2,10,80.4,109.0
SKIPTON,146000,205000,212000,168000,265000,1,7,81.5,57.7
AIREYS INLET,700000,1400000,1050000,1010000,1300000,7,19,85.7,28.7
NEWINGTON,485000,516300,605000,575000,908500,8,15,87.3,58.0
BENTLEIGH,1376000,1411000,1510000,1469000,1500000,17,72,9.0,2.1
LINTON,310000,433800,337500,309300,338000,1,8,9.0,9.3
MELTON SOUTH,380900,391000,400500,395000,415000,27,100,9.0,5.1
THORNBURY,1115000,1250000,1230000,1120000,1215000,26,83,9.0,8.5
KEW,2200000,2700000,2200000,2150000,2400000,21,112,9.1,11.6
KIALLA,453800,470000,420000,455000,495000,36,82,9.1,8.8
MICKLEHAM,530000,545000,550000,547500,580000,23,168,9.4,5.9
RINGWOOD NORTH,865000,928000,890500,938000,946100,15,61,9.4,0.9
WALLAN,489900,485000,492500,510000,536000,37,90,9.4,5.1
LAKE GARDENS,570000,517500,638000,661300,624000,6,18,9.5,-5.6
ARDEER,575000,572000,600000,575000,630000,3,14,9.6,9.6
MERINDA PARK,473500,508000,545000,482000,518800,4,23,9.6,7.6
ALPHINGTON,1700000,1717500,1435500,1930000,1865000,5,19,9.7,-3.4
PASCOE VALE,847000,872500,930000,940000,930000,19,80,9.8,-1.1
HARCOURT,300000,417500,490000,490000,570000,5,10,90.0,NA
NHILL,96500,109500,107500,206800,189000,14,38,95.9,-8.6
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,